"Compound","Temp","Density kg/m^3","Density","Units","Source"
"Acetone ",25,784.6,0.7846,"g/mL","https://www.engineeringtoolbox.com/liquids-densities-d_743.html"
"Alcohol, ethyl (ethanol) ",25,785.1,0.7851,"g/mL","https://www.engineeringtoolbox.com/liquids-densities-d_743.html"
"Alcohol, methyl (methanol) ",25,786.5,0.7865,"g/mL","https://www.engineeringtoolbox.com/liquids-densities-d_743.html"
"Alcohol, propyl ",25,800,0.8,"g/mL","https://www.engineeringtoolbox.com/liquids-densities-d_743.html"
"Ammonia (aqua) ",25,823.5,0.8235,"g/mL","https://www.engineeringtoolbox.com/liquids-densities-d_743.html"
"Butane ",25,599,0.599,"g/mL","https://www.engineeringtoolbox.com/liquids-densities-d_743.html"
"Carbon tetrachloride ",25,1584,1.584,"g/mL","https://www.engineeringtoolbox.com/liquids-densities-d_743.html"
"Castor oil ",25,956.1,0.9561,"g/mL","https://www.engineeringtoolbox.com/liquids-densities-d_743.html"
"Chloroform ",25,1465,1.465,"g/mL","https://www.engineeringtoolbox.com/liquids-densities-d_743.html"
"Coconut oil ",15,924,0.924,"g/mL","https://www.engineeringtoolbox.com/liquids-densities-d_743.html"
"Cotton seed oil ",15,926,0.926,"g/mL","https://www.engineeringtoolbox.com/liquids-densities-d_743.html"
"Cyclohexane ",20,779,0.779,"g/mL","https://www.engineeringtoolbox.com/liquids-densities-d_743.html"
"Cyclopentane ",20,745,0.745,"g/mL","https://www.engineeringtoolbox.com/liquids-densities-d_743.html"
"Ethane ",-89,570,0.57,"g/mL","https://www.engineeringtoolbox.com/liquids-densities-d_743.html"
"Trichlorofluoromethane refrigerant R-11 ",25,1476,1.476,"g/mL","https://www.engineeringtoolbox.com/liquids-densities-d_743.html"
"Dichlorodifluoromethane refrigerant R-12 ",25,1311,1.311,"g/mL","https://www.engineeringtoolbox.com/liquids-densities-d_743.html"
"Chlorodifluoromethane refrigerant R-22 ",25,1194,1.194,"g/mL","https://www.engineeringtoolbox.com/liquids-densities-d_743.html"
"Formaldehyde ",45,812,0.812,"g/mL","https://www.engineeringtoolbox.com/liquids-densities-d_743.html"
"Gasoline, natural ","60oF ",711,0.711,"g/mL","https://www.engineeringtoolbox.com/liquids-densities-d_743.html"
"Gasoline, Vehicle ","60oF ",737,0.737,"g/mL","https://www.engineeringtoolbox.com/liquids-densities-d_743.html"
"Glycerine ",25,1259,1.259,"g/mL","https://www.engineeringtoolbox.com/liquids-densities-d_743.html"
"Heating oil ",20,920,0.92,"g/mL","https://www.engineeringtoolbox.com/liquids-densities-d_743.html"
"Hexane ",25,654.8,0.6548,"g/mL","https://www.engineeringtoolbox.com/liquids-densities-d_743.html"
"Hexanol ",25,811,0.811,"g/mL","https://www.engineeringtoolbox.com/liquids-densities-d_743.html"
"Hydrazine ",25,795,0.795,"g/mL","https://www.engineeringtoolbox.com/liquids-densities-d_743.html"
"Isobutyl Alcohol ",20,802,0.802,"g/mL","https://www.engineeringtoolbox.com/liquids-densities-d_743.html"
"Isopropyl Alcohol ",20,785,0.785,"g/mL","https://www.engineeringtoolbox.com/liquids-densities-d_743.html"
"Isopropyl Myristate ",20,853,0.853,"g/mL","https://www.engineeringtoolbox.com/liquids-densities-d_743.html"
"Kerosene ","60oF ",820.1,0.8201,"g/mL","https://www.engineeringtoolbox.com/liquids-densities-d_743.html"
"Linseed oil ",25,929.1,0.9291,"g/mL","https://www.engineeringtoolbox.com/liquids-densities-d_743.html"
"Mercury ",,13590,13.59,"g/mL","https://www.engineeringtoolbox.com/liquids-densities-d_743.html"
"Methane ",-164,465,0.465,"g/mL","https://www.engineeringtoolbox.com/liquids-densities-d_743.html"
"Methanol ",20,791,0.791,"g/mL","https://www.engineeringtoolbox.com/liquids-densities-d_743.html"
"Octane ",15,698.6,0.6986,"g/mL","https://www.engineeringtoolbox.com/liquids-densities-d_743.html"
"Paraffin ",,800,0.8,"g/mL","https://www.engineeringtoolbox.com/liquids-densities-d_743.html"
"Pentane ",20,626,0.626,"g/mL","https://www.engineeringtoolbox.com/liquids-densities-d_743.html"
"Pentane ",25,625,0.625,"g/mL","https://www.engineeringtoolbox.com/liquids-densities-d_743.html"
"Propane ",-40,493.5,0.4935,"g/mL","https://www.engineeringtoolbox.com/liquids-densities-d_743.html"
"Propylene glycol ",25,965.3,0.9653,"g/mL","https://www.engineeringtoolbox.com/liquids-densities-d_743.html"
"Pyrrole ",25,966,0.966,"g/mL","https://www.engineeringtoolbox.com/liquids-densities-d_743.html"
"Rosin oil ",15,980,0.98,"g/mL","https://www.engineeringtoolbox.com/liquids-densities-d_743.html"
"Sea water ",25,1025,1.025,"g/mL","https://www.engineeringtoolbox.com/liquids-densities-d_743.html"
"Sulfuric Acid 95% concentration ",20,1839,1.839,"g/mL","https://www.engineeringtoolbox.com/liquids-densities-d_743.html"
"Sunflower oil ",20,920,0.92,"g/mL","https://www.engineeringtoolbox.com/liquids-densities-d_743.html"
"Toluene ",20,867,0.867,"g/mL","https://www.engineeringtoolbox.com/liquids-densities-d_743.html"
"Turpentine ",25,868.2,0.8682,"g/mL","https://www.engineeringtoolbox.com/liquids-densities-d_743.html"
"Water, heavy ",11.6,1105,1.105,"g/mL","https://www.engineeringtoolbox.com/liquids-densities-d_743.html"
"Water - pure ",4,1000,1,"g/mL","https://www.engineeringtoolbox.com/liquids-densities-d_743.html"
"Water - sea ","77oF ",1022,1.022,"g/mL","https://www.engineeringtoolbox.com/liquids-densities-d_743.html"
"Whale oil ",15,925,0.925,"g/mL","https://www.engineeringtoolbox.com/liquids-densities-d_743.html"
